sample_name	classification	Absolute Genome Equivalent	depth	Filter size (um)	cell_state
KJ90	LL	23601.93130898582	75	0.2	Free-living
KJ90	unclassified	165980.6318573797	75	0.2	Free-living
KJ91	HL	2353282.6555153267	75	0.2	Free-living
KJ91	LL	35330.64974952715	75	0.2	Free-living
KJ91	unclassified	434856.56815071404	75	0.2	Free-living
KJ92	HL	2065036.2426228255	75	0.2	Free-living
KJ92	LL	29646.027500550834	75	0.2	Free-living
KJ92	unclassified	374423.8294951886	75	0.2	Free-living
KJ93	HL	146.20183693999613	150	20.0	Particle-bound
KJ93	LL	522.0604464960699	150	20.0	Particle-bound
KJ93	unclassified	101.28252921135778	150	20.0	Particle-bound
KJ96	HL	44.48687884955997	150	5.0	Particle-bound
KJ96	LL	729.6842251527053	150	5.0	Particle-bound
KJ96	unclassified	121.53119417562628	150	5.0	Particle-bound
KJ99	HL	1074.5491241977993	150	1.2	Free-living
KJ99	LL	6418.6996749379905	150	1.2	Free-living
KJ99	unclassified	994.5722870953439	150	1.2	Free-living
KJ_100_101	HL	5570.230324895727	150	1.2	Free-living
KJ_100_101	LL	6588.482904540965	150	1.2	Free-living
KJ_100_101	unclassified	2242.032226704624	150	1.2	Free-living
KJ_103_104	HL	10592.733791903089	150	0.2	Free-living
KJ_103_104	LL	291611.48841062357	150	0.2	Free-living
KJ_103_104	unclassified	31019.899317078598	150	0.2	Free-living
KJ_105	HL	60.800657428185104	300	20.0	Particle-bound
KJ_105	LL	66.40583967508296	300	20.0	Particle-bound
KJ_105	unclassified	13.857256110392438	300	20.0	Particle-bound
KJ_106_107	HL	1333.7219757486998	300	20.0	Particle-bound
KJ_106_107	LL	245.53812231562713	300	20.0	Particle-bound
KJ_106_107	unclassified	221.56039825944362	300	20.0	Particle-bound
KJ_108	HL	11.183852224743926	300	5.0	Particle-bound
KJ_108	LL	315.88169283687637	300	5.0	Particle-bound
KJ_108	unclassified	25.10153499332883	300	5.0	Particle-bound
KJ_109_110	HL	577.086774797201	300	5.0	Particle-bound
KJ_109_110	LL	231.13294597819	300	5.0	Particle-bound
KJ_109_110	unclassified	74.80754488110648	300	5.0	Particle-bound
KJ_111	HL	355.20438824831535	300	1.2	Free-living
KJ_111	LL	903.8722986495162	300	1.2	Free-living
KJ_111	unclassified	164.86845190392802	300	1.2	Free-living
KJ_112_113	HL	428.47925576119496	300	1.2	Free-living
KJ_112_113	LL	728.2806954022501	300	1.2	Free-living
KJ_112_113	unclassified	225.18617821026083	300	1.2	Free-living
KJ_117	HL	289.75678226340113	1000	20.0	Particle-bound
KJ_117	LL	6.2279802743334445	1000	20.0	Particle-bound
KJ_117	unclassified	44.91930772863557	1000	20.0	Particle-bound
KJ_118_119	HL	2504.0373190495584	1000	20.0	Particle-bound
KJ_118_119	LL	173.2157013799195	1000	20.0	Particle-bound
KJ_118_119	unclassified	379.3618484603898	1000	20.0	Particle-bound
KJ_120	HL	633.751626069284	1000	5.0	Particle-bound
KJ_120	LL	83.25756656202225	1000	5.0	Particle-bound
KJ_120	unclassified	154.83422080045128	1000	5.0	Particle-bound
KJ_121_122	HL	240.82561790632343	1000	5.0	Particle-bound
KJ_121_122	LL	36.533917267515285	1000	5.0	Particle-bound
KJ_121_122	unclassified	53.185430579923306	1000	5.0	Particle-bound
KJ_123	HL	856.0649155771142	1000	1.2	Free-living
KJ_123	LL	1325.6495848211355	1000	1.2	Free-living
KJ_123	unclassified	158.16648231434317	1000	1.2	Free-living
