sample	forward read	reverse read	depth	filter_size	Latitude	Longitude	name
ERR598976	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598976_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598976_2.fastq.gz	5.0	0.22-3	36.1715	-29.023	TARA_151_SRF_0
ERR599075	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599075_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599075_2.fastq.gz	5.0	0.22-1.6	6.0001	73.8955	TARA_042_SRF_0
ERR315862	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR315862_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR315862_2.fastq.gz					
ERR599126	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599126_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599126_2.fastq.gz	5.0	0.22-3	-20.9354	-35.1803	TARA_076_SRF_0
ERR599009	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599009_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599009_2.fastq.gz	5.0	0.22-3	-47.1863	-58.2902	TARA_082_SRF_0
ERR599039	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599039_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599039_2.fastq.gz					
ERR599010	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599010_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599010_2.fastq.gz	5.0	0.22-3	-20.9354	-35.1803	TARA_076_SRF_0
ERR599114	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599114_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599114_2.fastq.gz	5.0	0.22-3	-8.9111	-142.5571	TARA_125_SRF_0
ERR599016	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599016_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599016_2.fastq.gz	75.0	0.22-1.6	-16.9534	53.9601	TARA_052_DCM_0
ERR599121	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599121_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599121_2.fastq.gz	90.0	0.22-3	-62.2231	-49.2139	TARA_085_DCM_0
ERR599160	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599160_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599160_2.fastq.gz	5.0	0.22-3	-8.9068	-140.283	TARA_123_SRF_0
ERR599151	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599151_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599151_2.fastq.gz	5.0	0.22-3	-9.1504	-140.5216	TARA_124_SRF_0
ERR599012	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599012_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599012_2.fastq.gz	5.0	0.22-3	-22.3368	40.3412	TARA_062_SRF_0
ERR599036	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599036_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599036_2.fastq.gz	5.0	0.22-3	-9.1504	-140.5216	TARA_124_SRF_0
ERR599064	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599064_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599064_2.fastq.gz	5.0	0.22-3	-34.0614	-73.1066	TARA_093_SRF_0
ERR599119	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599119_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599119_2.fastq.gz	5.0	0.22-3	-8.9111	-142.5571	TARA_125_SRF_0
ERR588857	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR588857_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR588857_2.fastq.gz	5.0	0.22-3	-9.1504	-140.515	TARA_124_SRF_0
ERR599146	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599146_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599146_2.fastq.gz	5.0	0.22-3	-35.1728	26.2868	TARA_065_SRF_0
ERR598942	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598942_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598942_2.fastq.gz	45.0	0.22-3	35.4002	-127.7499	TARA_133_DCM_0
ERR599035	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599035_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599035_2.fastq.gz	5.0	0.22-3	-47.1863	-58.2902	TARA_082_SRF_0
ERR315863	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR315863_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR315863_2.fastq.gz					
ERR599002	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599002_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599002_2.fastq.gz	75.0	0.22-1.6	-16.9534	53.9601	TARA_052_DCM_0
ERR599135	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599135_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599135_2.fastq.gz	5.0	0.22-3	-20.4091	-3.1759	TARA_070_SRF_0
ERR599148	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599148_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599148_2.fastq.gz	150.0	0.22-3	-21.0292	-35.3498	TARA_076_DCM_0
ERR598972	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598972_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598972_2.fastq.gz	65.0	0.22-3	-29.5333	37.9117	TARA_064_DCM_0
ERR599150	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599150_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599150_2.fastq.gz	5.0	0.22-3	-29.5019	37.9889	TARA_064_SRF_0
ERR598970	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598970_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598970_2.fastq.gz	5.0	0.22-3	-29.5019	37.9889	TARA_064_SRF_0
ERR599026	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599026_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599026_2.fastq.gz	66.0	0.22-3	-17.2855	42.2866	TARA_058_DCM_0
ERR598983	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598983_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598983_2.fastq.gz	5.0	0.22-3	39.2305	-70.0377	TARA_145_SRF_0
ERR599038	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599038_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599038_2.fastq.gz	5.0	0.22-3	0.0003	-153.6759	TARA_128_SRF_0
ERR599091	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599091_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599091_2.fastq.gz	5.0	0.22-3	-8.9111	-142.5571	TARA_125_SRF_0
ERR599156	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599156_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599156_2.fastq.gz	140.0	0.22-3	-8.8999	-142.5461	TARA_125_MIX_0
ERR599104	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599104_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599104_2.fastq.gz	90.0	0.22-3	-62.2231	-49.2139	TARA_085_DCM_0
ERR599040	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599040_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599040_2.fastq.gz	150.0	0.22-3	-21.0292	-35.3498	TARA_076_DCM_0
ERR599141	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599141_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599141_2.fastq.gz	5.0	0.22-1.6	6.0001	73.8955	TARA_042_SRF_0
ERR599162	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599162_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599162_2.fastq.gz	5.0	0.22-3	7.4122	-79.3017	TARA_140_SRF_0
ERR598957	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598957_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598957_2.fastq.gz	155.0	0.22-3	-23.2189	-129.5943	TARA_112_DCM_0
ERR599088	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599088_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599088_2.fastq.gz	5.0	0.22-3	-29.5019	37.9889	TARA_064_SRF_0
ERR598979	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598979_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR598979_2.fastq.gz	5.0	0.22-3	-35.1728	26.2868	TARA_065_SRF_0
ERR599023	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599023_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599023_2.fastq.gz	65.0	0.22-3	-29.5333	37.8586	TARA_064_DCM_0
ERR599165	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599165_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599165_2.fastq.gz	5.0	0.22-3	-20.4091	-3.1759	TARA_070_SRF_0
ERR599098	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599098_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599098_2.fastq.gz	5.0	0.22-1.6	-16.957	53.9775	TARA_052_SRF_0
ERR599069	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599069_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599069_2.fastq.gz	5.0	0.22-3	-9.1504	-140.5216	TARA_124_SRF_0
ERR599066	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599066_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599066_2.fastq.gz	5.0	0.22-3	-8.9111	-142.5571	TARA_125_SRF_0
ERR599025	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599025_1.fastq.gz	/nobackup1b/users/chisholmlab/jmullet/24_maya_tara_images/ERR599025_2.fastq.gz	65.0	0.22-3	-29.5333	37.9117	TARA_064_DCM_0
