sample_name	summary_type	Prochlorococcus	Synechococcus	other_genus	unclassified
ERR1726590	percent	0.0507586773261279	0.05071437391623191	1.6910611557298931	98.20746579302775
SRR23969194	percent	3.272430187669597	0.1368304633355288	24.51038609381887	72.080353255176
SRR23969195	percent	17.70988882096164	0.13247219228690413	31.52237193998273	50.63526704676873
SRR23969196	percent	14.12373569567322	0.13854267845823998	27.956490812245065	57.78123081362347
SRR23969197	percent	6.079770190751157	0.1047394743831294	19.04788183612924	74.76760849873646
SRR23969198	percent	12.486261461771397	0.09949427801241627	34.34231601461471	53.07192824560148
SRR23969199	percent	0.060489602935754096	0.007675057000488178	22.038368714914736	77.89346662514902
SRR23969200	percent	12.811234416015285	0.10458051969458237	30.383136542141038	56.7010485221491
SRR23969201	percent	23.239445158538103	0.2922418500451107	25.38446923428998	51.0838437571268
SRR23969202	percent	17.308185998262886	0.2009040933523384	28.016414065547057	54.47449584283771
SRR23969193	percent	4.88347251327131	0.040402622158832446	30.59664070822072	64.47948415634914
SRR23969203	percent	3.910554335924004	0.18734590741205168	20.77677695238166	75.12532280428229
SRR23969205	percent	12.696011204215743	0.15228350927092377	23.606543051497336	63.545162235015994
SRR23969206	percent	16.826444144688917	0.11697994921100768	31.287583722328115	51.768992183771964
SRR23969207	percent	15.241901456183932	0.12348816357452247	27.560821080776428	57.07378929946512
SRR23969208	percent	17.2516618487864	0.1098418790657724	37.391413223187584	45.24708304896024
SRR23969209	percent	8.644345432416111	0.1279479234509396	24.40270393769134	66.82500270644161
SRR23969210	percent	17.36383647384787	0.5521584109757659	28.298293841050643	53.785711274125724
SRR23969211	percent	6.298137409306638	0.18127965025663614	28.059911952400967	65.46067098803576
SRR23969212	percent	13.16254831908269	0.0478390348061619	25.09753068468624	61.692081961424904
SRR23969213	percent	19.28622613187749	0.19703880518849448	27.334619868549996	53.18211519438402
SRR23969204	percent	17.57174335421983	0.19084921532100985	31.8622851824565	50.375122248002654
SRR23969214	percent	12.074527917573967	0.16010662968157352	28.726720349839912	59.03864510290455
SRR23969192	percent	14.392632976054514	0.10230650317536927	30.84458192165989	54.66047859911023
SRR23969190	percent	9.624047545871468	0.1577132319777119	22.874058522294114	67.34418069985671
SRR23969170	percent	0.16198569901670468	0.009408738252338575	23.852331920163095	75.97627364256786
SRR23969171	percent	11.790092252559406	0.09154889016898803	26.697075552340177	61.42128330493143
SRR23969172	percent	7.866470940019564	0.08471862661711418	25.843204331112513	66.20560610225081
SRR23969173	percent	16.371126223110437	0.15213480520763117	25.108537815706317	58.368201155975605
SRR23969174	percent	7.271288391828601	0.18057819884926835	26.09680143204905	66.45133197727309
SRR23969175	percent	0.13487808978175192	0.010935327049482354	17.7673186544114	82.08686792875737
SRR23969176	percent	20.061819621766183	0.2808078882170143	24.59390909470375	55.06346339531305
SRR23969177	percent	7.407938597410634	0.09856765135225533	29.93632929029807	62.55716446093904
SRR23969178	percent	17.18599499507515	0.5821247297550479	27.88433768705304	54.34754258811676
SRR23969191	percent	11.215719546614789	0.21947158102857858	22.60914698192509	65.95566189043154
SRR23969179	percent	19.287981481736622	0.14814008812134585	27.708737326284893	52.855141103857136
SRR23969181	percent	14.990182117564938	0.10714232444512929	28.718651640048293	56.18402391794164
