sample_name	classification	genome_equivalents	percentage	depth	filter size (um)	cell_state	binned_depth
ERR598976	HL	149.65097037891852	78.54735208899267	5.0	0.22	Free-living	5
ERR598976	LL	7.218568481744453	3.788812318947453	5.0	0.22	Free-living	5
ERR598976	unclassified	33.653714182121696	17.663835592059876	5.0	0.22	Free-living	5
ERR598979	HL	12.406072473536973	78.90995667456156	5.0	0.22	Free-living	5
ERR598979	LL	0.504420311473937	3.208411446014159	5.0	0.22	Free-living	5
ERR598979	unclassified	2.81131596556512	17.88163187942428	5.0	0.22	Free-living	5
ERR599002	HL	194.4840728128487	43.271466665121494	75.0	0.22	Free-living	75
ERR599002	LL	207.53989204698613	46.17630323402384	75.0	0.22	Free-living	75
ERR599002	unclassified	47.427111799904424	10.552230100854675	75.0	0.22	Free-living	75
ERR599010	HL	28.714337204558365	81.16867994379577	5.0	0.22	Free-living	5
ERR599010	LL	0.14379892293382449	0.406485745038379	5.0	0.22	Free-living	5
ERR599010	unclassified	6.517993217522718	18.42483431116585	5.0	0.22	Free-living	5
ERR599012	HL	268.2917316856637	82.70040634014681	5.0	0.22	Free-living	5
ERR599012	LL	1.9087594465054303	0.5883714001911148	5.0	0.22	Free-living	5
ERR599012	unclassified	54.213551747112106	16.711222259662073	5.0	0.22	Free-living	5
ERR599016	HL	42.57721892048889	43.057736469978344	75.0	0.22	Free-living	75
ERR599016	LL	45.616578687061256	46.1313978124657	75.0	0.22	Free-living	75
ERR599016	unclassified	10.690218160848444	10.810865717555972	75.0	0.22	Free-living	75
ERR599023	HL	109.27914035375622	76.6600296366089	65.0	0.22	Free-living	45
ERR599023	LL	4.842655911059998	3.397154703633229	65.0	0.22	Free-living	45
ERR599023	unclassified	28.428553469943235	19.942815659757883	65.0	0.22	Free-living	45
ERR599025	HL	42.21819183524279	77.99105499440103	65.0	0.22	Free-living	45
ERR599025	LL	1.758307854852617	3.248179958536803	65.0	0.22	Free-living	45
ERR599025	unclassified	10.155595122923389	18.76076504706218	65.0	0.22	Free-living	45
ERR599026	HL	335.89491583165267	79.11228854983648	66.0	0.22	Free-living	45
ERR599026	LL	19.664211952571875	4.631450899592364	66.0	0.22	Free-living	45
ERR599026	unclassified	69.02082305369998	16.25626055057117	66.0	0.22	Free-living	45
ERR599036	HL	66.37652218329421	84.97221772436451	5.0	0.22	Free-living	5
ERR599036	LL	2.753295011655847	3.5246435862334065	5.0	0.22	Free-living	5
ERR599036	unclassified	8.98574099679728	11.503138689402073	5.0	0.22	Free-living	5
ERR599038	HL	245.1914566842329	83.40169702959818	5.0	0.22	Free-living	5
ERR599038	LL	16.70452283263252	5.682031385397825	5.0	0.22	Free-living	5
ERR599038	unclassified	32.092590760328896	10.916271585004008	5.0	0.22	Free-living	5
ERR599040	HL	9.937256260641295	51.04971860803278	150.0	0.22	Free-living	150
ERR599040	LL	6.552976071476647	33.66397884082204	150.0	0.22	Free-living	150
ERR599040	unclassified	2.9756071114664695	15.286302551145184	150.0	0.22	Free-living	150
ERR599066	HL	36.474403983284596	85.70157666131479	5.0	0.22	Free-living	5
ERR599066	LL	1.2859071634615415	3.0214139043707826	5.0	0.22	Free-living	5
ERR599066	unclassified	4.799470603160615	11.27700943431443	5.0	0.22	Free-living	5
ERR599069	HL	68.07117754869292	84.88138580273983	5.0	0.22	Free-living	5
ERR599069	LL	2.8183887735465794	3.514391162961622	5.0	0.22	Free-living	5
ERR599069	unclassified	9.306081881345424	11.604223034298538	5.0	0.22	Free-living	5
ERR599075	HL	380.4308545999511	83.16398517827953	5.0	0.22	Free-living	5
ERR599075	LL	0.881660851105024	0.19273523445061008	5.0	0.22	Free-living	5
ERR599075	unclassified	76.13412299997216	16.643279587269863	5.0	0.22	Free-living	5
ERR599080	HL	65.95342525171095	84.88726047221577	5.0	0.22	Free-living	5
ERR599080	LL	2.7203766830843894	3.501339364835131	5.0	0.22	Free-living	5
ERR599080	unclassified	9.021514046450159	11.611400162949101	5.0	0.22	Free-living	5
ERR599088	HL	122.9487747032256	82.03725349874766	5.0	0.22	Free-living	5
ERR599088	LL	2.276000115213871	1.5186552193438059	5.0	0.22	Free-living	5
ERR599088	unclassified	24.644667976963795	16.444091281908527	5.0	0.22	Free-living	5
ERR599091	HL	36.43006955276666	85.80344824964882	5.0	0.22	Free-living	5
ERR599091	LL	1.2707292848073868	2.9929384095837777	5.0	0.22	Free-living	5
ERR599091	unclassified	4.756783341141909	11.203613340767415	5.0	0.22	Free-living	5
ERR599098	HL	120.05533125017472	87.09814363036466	5.0	0.22	Free-living	5
ERR599098	LL	1.7435974159077015	1.2649508904173772	5.0	0.22	Free-living	5
ERR599098	unclassified	16.04021031680668	11.636905479217958	5.0	0.22	Free-living	5
ERR599114	HL	36.802905586089864	85.8035913759027	5.0	0.22	Free-living	5
ERR599114	LL	1.265868468307147	2.95129036853327	5.0	0.22	Free-living	5
ERR599114	unclassified	4.823259945505806	11.24511825556404	5.0	0.22	Free-living	5
ERR599119	HL	37.462337808760914	85.75293091265938	5.0	0.22	Free-living	5
ERR599119	LL	1.2932415150898369	2.960286431215377	5.0	0.22	Free-living	5
ERR599119	unclassified	4.930784990526853	11.28678265612523	5.0	0.22	Free-living	5
ERR599126	HL	237.78392013527025	82.36822217454767	5.0	0.22	Free-living	5
ERR599126	LL	0.9933984182676621	0.3441126783390854	5.0	0.22	Free-living	5
ERR599126	unclassified	49.906731991317805	17.287665147113245	5.0	0.22	Free-living	5
ERR599135	HL	8.711128514757117	26.95339635332553	5.0	0.22	Free-living	5
ERR599135	LL	20.078110338448333	62.1243579475638	5.0	0.22	Free-living	5
