sample_name	summary_type	Prochlorococcus	Synechococcus	other_genus	unclassified	depth	filter size (um)	cell_state	binned_depth
ERR1726590	percent	0.0507586773261279	0.0507143739162319	1.6910611557298931	98.20746579302777	70.0	20.0	Particle-bound	75
SRR23969194	percent	3.272430187669597	0.1368304633355288	24.51038609381887	72.080353255176	125.0	0.2	Free-living	150
SRR23969195	percent	17.70988882096164	0.1324721922869041	31.52237193998273	50.63526704676873	45.0	0.2	Free-living	45
SRR23969196	percent	14.12373569567322	0.1385426784582399	27.956490812245065	57.78123081362347	75.0	0.2	Free-living	75
SRR23969197	percent	6.079770190751157	0.1047394743831294	19.04788183612924	74.76760849873646	100.0	0.2	Free-living	150
SRR23969198	percent	12.486261461771395	0.0994942780124162	34.34231601461471	53.07192824560148	5.0	0.2	Free-living	5
SRR23969200	percent	12.811234416015283	0.1045805196945823	30.38313654214104	56.7010485221491	5.0	0.2	Free-living	5
SRR23969201	percent	23.239445158538103	0.2922418500451107	25.38446923428998	51.0838437571268	75.0	0.2	Free-living	75
SRR23969202	percent	17.308185998262886	0.2009040933523384	28.016414065547057	54.47449584283771	25.0	0.2	Free-living	45
SRR23969193	percent	4.88347251327131	0.0404026221588324	30.59664070822072	64.47948415634914	125.0	0.2	Free-living	150
SRR23969203	percent	3.910554335924004	0.1873459074120516	20.77677695238166	75.12532280428229	125.0	0.2	Free-living	150
SRR23969205	percent	12.696011204215743	0.1522835092709237	23.606543051497336	63.545162235016	75.0	0.2	Free-living	75
SRR23969206	percent	16.826444144688917	0.1169799492110076	31.287583722328115	51.76899218377197	75.0	0.2	Free-living	75
SRR23969207	percent	15.241901456183932	0.1234881635745224	27.560821080776428	57.07378929946512	25.0	0.2	Free-living	45
SRR23969208	percent	17.2516618487864	0.1098418790657724	37.391413223187584	45.24708304896024	5.0	0.2	Free-living	5
SRR23969209	percent	8.644345432416111	0.1279479234509396	24.40270393769134	66.82500270644161	125.0	0.2	Free-living	150
SRR23969210	percent	17.36383647384787	0.5521584109757659	28.298293841050643	53.78571127412573	5.0	0.2	Free-living	5
SRR23969211	percent	6.298137409306638	0.1812796502566361	28.059911952400967	65.46067098803576	125.0	0.2	Free-living	150
SRR23969212	percent	13.16254831908269	0.0478390348061619	25.09753068468624	61.6920819614249	5.0	0.2	Free-living	5
SRR23969213	percent	19.28622613187749	0.1970388051884944	27.33461986855	53.18211519438402	100.0	0.2	Free-living	150
SRR23969204	percent	17.57174335421983	0.1908492153210098	31.8622851824565	50.375122248002654	5.0	0.2	Free-living	5
SRR23969214	percent	12.074527917573969	0.1601066296815735	28.726720349839912	59.03864510290455	5.0	0.2	Free-living	5
SRR23969192	percent	14.392632976054514	0.1023065031753692	30.84458192165989	54.66047859911023	100.0	0.2	Free-living	150
SRR23969190	percent	9.624047545871468	0.1577132319777119	22.874058522294117	67.34418069985671	45.0	0.2	Free-living	45
SRR23969170	percent	0.1619856990167046	0.0094087382523385	23.852331920163092	75.97627364256786	200.0	0.2	Free-living	300
SRR23969171	percent	11.790092252559406	0.091548890168988	26.697075552340177	61.42128330493143	45.0	0.2	Free-living	45
SRR23969172	percent	7.866470940019564	0.0847186266171141	25.843204331112517	66.20560610225081	100.0	0.2	Free-living	150
SRR23969173	percent	16.371126223110437	0.1521348052076311	25.10853781570632	58.368201155975605	100.0	0.2	Free-living	150
SRR23969174	percent	7.271288391828601	0.1805781988492683	26.09680143204905	66.45133197727309	100.0	0.2	Free-living	150
