sample_name	cell_state	depth	binned_depth	Total Classified Read	Prochlorococcus	Pro/Syn Ratio	Pro Abundance	Pro/Syn Ratio Condition	Pro Abundance Condition	Pro Count Condition	Sample Pass
SRR17827620	Free-living	770.0	1000	7100034.0	19931.0	9.348499061913696	0.002807169655807282	True	True	False	True
SRR17827621	Free-living	1000.0	1000	9949760.0	23984.0	7.774392220421394	0.002410510404271058	True	False	False	False
SRR17827572	Free-living	770.0	1000	9404855.0	15609.0	6.283816425120773	0.0016596747105617259	True	False	False	False
SRR17827641	Free-living	250.0	300	9249384.0	64123.0	16.420742637644047	0.006932677895090095	True	True	True	True
SRR17827644	Free-living	500.0	1000	6687544.0	15577.0	9.527217125382263	0.002329255702840983	True	False	False	False
SRR17827563	Free-living	770.0	1000	13896514.0	30149.0	7.8187240663900415	0.0021695369068818267	True	False	False	False
SRR17827645	Free-living	200.0	300	4841264.0	56803.0	17.239150227617603	0.011733092845174318	True	True	True	True
SRR17827646	Free-living	250.0	300	5625493.0	23579.0	13.404775440591244	0.00419145486448921	True	True	False	True
SRR17827562	Free-living	1000.0	1000	11630454.0	26229.0	7.916993661334138	0.002255200011968578	True	False	False	False
SRR17827647	Free-living	150.0	150	6249195.0	513482.0	21.857738804699473	0.08216770320017218	True	True	True	True
SRR17827649	Free-living	770.0	1000	10966344.0	21660.0	7.691761363636363	0.0019751341012100294	True	False	False	False
SRR17827561	Free-living	150.0	150	7082734.0	399862.0	25.455946014769545	0.05645588271421742	True	True	True	True
SRR17827650	Free-living	1000.0	1000	12206840.0	29315.0	8.16801337419894	0.0024015224251321392	True	False	False	False
SRR17827651	Free-living	1000.0	1000	8982675.0	21354.0	8.000749344323717	0.00237724285917057	True	False	False	False
SRR17827560	Free-living	1000.0	1000	7708146.0	14598.0	7.19467718087728	0.0018938406200401498	True	False	False	False
SRR17827653	Free-living	770.0	1000	16089462.0	39425.0	8.689662772757329	0.0024503616093564844	True	False	False	False
SRR17827654	Free-living	1000.0	1000	13372687.0	42871.0	10.423292000972527	0.0032058628157527356	True	True	False	True
SRR17827559	Free-living	1000.0	1000	5504020.0	10312.0	7.166087560806115	0.001873539703707472	True	False	False	False
SRR17827655	Free-living	770.0	1000	12642790.0	27232.0	8.009411764705883	0.002153954941907601	True	False	False	False
SRR17827656	Free-living	770.0	1000	10844243.0	23558.0	7.836992681304059	0.0021723969114303323	True	False	False	False
SRR17827564	Free-living	225.0	300	10767166.0	252318.0	22.84247691472026	0.02343402154290182	True	True	True	True
SRR17827657	Free-living	200.0	300	7874250.0	262032.0	17.19821475452875	0.03327707400704829	True	True	True	True
SRR17827638	Free-living	200.0	300	10025887.0	173248.0	22.27410645410131	0.01728006709032328	True	True	True	True
SRR17827565	Free-living	250.0	300	10270377.0	69048.0	16.30413223140496	0.006723024870459965	True	True	True	True
SRR17827622	Free-living	1000.0	1000	6183692.0	15633.0	7.62213554363725	0.002528101334930653	True	False	False	False
SRR17827623	Free-living	1000.0	1000	14032428.0	27908.0	7.148565573770492	0.001988821891692585	True	False	False	False
SRR17827571	Free-living	770.0	1000	13354922.0	44066.0	10.086060883497368	0.003299607440612532	True	True	False	True
SRR17827624	Free-living	175.0	300	10356282.0	238503.0	19.699595275460478	0.023029790034686193	True	True	True	True
SRR17827625	Free-living	150.0	150	7238953.0	1224768.0	63.82324127149557	0.16919131813675264	True	True	True	True
SRR17827570	Free-living	770.0	1000	15708487.0	30131.0	6.971540953262378	0.0019181350820101262	True	False	False	False
SRR17827626	Free-living	770.0	1000	11649020.0	31289.0	9.053530092592593	0.0026859770178092233	True	False	False	False
SRR17827628	Free-living	200.0	300	7579615.0	232889.0	20.701244444444445	0.030725703086502416	True	True	True	True
SRR17827569	Free-living	200.0	300	5317074.0	30989.0	15.698581560283689	0.0058282055130321675	True	True	False	True
SRR17827629	Free-living	770.0	1000	6255092.0	20756.0	10.682449819866186	0.003318256550023565	True	True	False	True
SRR17827630	Free-living	500.0	1000	7874159.0	19496.0	10.044307058217413	0.002475946955097046	True	False	False	False
SRR17827568	Free-living	1000.0	1000	7356875.0	16479.0	8.276745354093421	0.0022399456290884377	True	False	False	False
SRR17827631	Free-living	500.0	1000	9826703.0	21705.0	8.187476423990947	0.00220877745058541	True	False	False	False
SRR17827632	Free-living	150.0	150	6826816.0	429593.0	23.906121313299945	0.06292728557500304	True	True	True	True
SRR17827566	Free-living	770.0	1000	12568244.0	28369.0	6.551732101616628	0.0022571967889865917	True	False	False	False
SRR17827633	Free-living	225.0	300	5337182.0	31177.0	14.706132075471698	0.005841472147661444	True	True	False	True
SRR17827634	Free-living	500.0	1000	7127646.0	14976.0	9.313432835820896	0.002101114449286623	True	False	False	False
SRR17827637	Free-living	1000.0	1000	9068219.0	25070.0	6.9677598665925515	0.0027646001932683803	True	False	False	False
KJ48	Particle-bound	300.0	300	132639.0	415.0	1.7364016736401673	0.003128793190539736	True	True	False	True
KJ_40_41	Free-living	150.0	150	512815.0	33414.0	29.182532751091703	0.06515800044850482	True	True	False	True
SRR23969182	Free-living	45.0	45	8883097.0	2917435.0	175.08461861609555	0.32842543540839414	True	True	True	True
SRR9178100	Free-living	5.0	5	10664265.0	3111284.0	110.98648021974103	0.29174856401261595	True	True	True	True
KJ88	Free-living	75.0	75	317603.0	39105.0	43.59531772575251	0.12312541128389845	True	True	False	True
SRR9178101	Free-living	175.0	300	11693243.0	91722.0	20.634870641169854	0.007844017267066117	True	True	True	True
SRR9178102	Free-living	125.0	150	10413492.0	2559037.0	108.68245137178289	0.24574244643391477	True	True	True	True
KJ87	Free-living	75.0	75	198710.0	11571.0	7.637623762376237	0.05823058728800765	True	True	False	True
