sample_name	depth	filter size (um)	cell_state	binned_depth
ERR599151	5.0	0.22	Free-living	5
ERR599012	5.0	0.22	Free-living	5
ERR599036	5.0	0.22	Free-living	5
ERR599064	5.0	0.22	Free-living	5
ERR599119	5.0	0.22	Free-living	5
ERR588857	5.0	0.22	Free-living	5
ERR599146	5.0	0.22	Free-living	5
ERR598942	45.0	0.22	Free-living	45
ERR599002	75.0	0.22	Free-living	75
ERR599135	5.0	0.22	Free-living	5
ERR599148	150.0	0.22	Free-living	150
ERR598972	65.0	0.22	Free-living	45
ERR599150	5.0	0.22	Free-living	5
ERR598970	5.0	0.22	Free-living	5
ERR599026	66.0	0.22	Free-living	45
ERR598983	5.0	0.22	Free-living	5
ERR599038	5.0	0.22	Free-living	5
ERR599091	5.0	0.22	Free-living	5
ERR599156	140.0	0.22	Free-living	150
ERR599040	150.0	0.22	Free-living	150
ERR599141	5.0	0.22	Free-living	5
ERR599162	5.0	0.22	Free-living	5
ERR598957	155.0	0.22	Free-living	150
ERR599088	5.0	0.22	Free-living	5
ERR598979	5.0	0.22	Free-living	5
ERR599023	65.0	0.22	Free-living	45
ERR599165	5.0	0.22	Free-living	5
ERR599098	5.0	0.22	Free-living	5
ERR599069	5.0	0.22	Free-living	5
ERR599066	5.0	0.22	Free-living	5
ERR599025	65.0	0.22	Free-living	45
SRR15713235	150.0	20.0	Particle-bound	150
SRR15713232	150.0	20.0	Particle-bound	150
SRR15713234	150.0	20.0	Particle-bound	150
SRR15713229	150.0	20.0	Particle-bound	150
SRR15713231	150.0	20.0	Particle-bound	150
SRR15713233	150.0	20.0	Particle-bound	150
SRR9178092	5.0	0.2	Free-living	5
SRR9178404	25.0	0.2	Free-living	45
SRR9178089	45.0	0.2	Free-living	45
SRR9178530	75.0	0.2	Free-living	75
SRR9178356	100.0	0.2	Free-living	150
SRR9178096	125.0	0.2	Free-living	150
SRR9178479	150.0	0.2	Free-living	150
SRR9178101	175.0	0.2	Free-living	300
SRR9178224	5.0	0.2	Free-living	5
SRR9178318	5.0	0.2	Free-living	5
SRR9178366	5.0	0.2	Free-living	5
SRR9178142	25.0	0.2	Free-living	45
SRR9178146	25.0	0.2	Free-living	45
SRR9178316	45.0	0.2	Free-living	45
SRR9178357	75.0	0.2	Free-living	75
SRR9178359	75.0	0.2	Free-living	75
SRR9178141	100.0	0.2	Free-living	150
SRR9178147	100.0	0.2	Free-living	150
SRR9178108	125.0	0.2	Free-living	150
SRR9178153	125.0	0.2	Free-living	150
SRR9178477	150.0	0.2	Free-living	150
SRR9178360	150.0	0.2	Free-living	150
SRR9178098	175.0	0.2	Free-living	300
SRR9178215	175.0	0.2	Free-living	300
SRR9178486	200.0	0.2	Free-living	300
SRR9178107	200.0	0.2	Free-living	300
SRR9178155	200.0	0.2	Free-living	300
SRR9178148	225.0	0.2	Free-living	300
SRR9178214	250.0	0.2	Free-living	300
SRR9178505	500.0	0.2	Free-living	1000
SRR17827626	770.0	0.2	Free-living	1000
SRR17827621	1000.0	0.2	Free-living	1000
SRR9178438	5.0	0.2	Free-living	5
SRR9178093	5.0	0.2	Free-living	5
SRR9178405	25.0	0.2	Free-living	45
SRR9178281	25.0	0.2	Free-living	45
SRR9178502	45.0	0.2	Free-living	45
SRR9178462	75.0	0.2	Free-living	75
SRR9178531	75.0	0.2	Free-living	75
SRR9178210	100.0	0.2	Free-living	150
SRR9178232	125.0	0.2	Free-living	150
SRR9178332	125.0	0.2	Free-living	150
SRR9178113	150.0	0.2	Free-living	150
SRR9178115	150.0	0.2	Free-living	150
SRR9178192	175.0	0.2	Free-living	300
SRR9178195	175.0	0.2	Free-living	300
SRR9178439	200.0	0.2	Free-living	300
SRR9178315	225.0	0.2	Free-living	300
SRR9178480	250.0	0.2	Free-living	300
SRR9178317	500.0	0.2	Free-living	1000
SRR17827615	770.0	0.2	Free-living	1000
SRR17827618	1000.0	0.2	Free-living	1000
SRR9178335	5.0	0.2	Free-living	5
SRR9178368	5.0	0.2	Free-living	5
SRR9178106	25.0	0.2	Free-living	45
SRR9178292	25.0	0.2	Free-living	45
SRR9178211	45.0	0.2	Free-living	45
SRR9178333	45.0	0.2	Free-living	45
SRR9178213	75.0	0.2	Free-living	75
SRR9178358	75.0	0.2	Free-living	75
SRR9178112	100.0	0.2	Free-living	150
SRR9178275	100.0	0.2	Free-living	150
SRR9178503	125.0	0.2	Free-living	150
SRR9178529	125.0	0.2	Free-living	150
SRR9178231	150.0	0.2	Free-living	150
SRR9178370	150.0	0.2	Free-living	150
SRR9178495	175.0	0.2	Free-living	300
SRR9178229	175.0	0.2	Free-living	300
SRR9178498	200.0	0.2	Free-living	300
SRR9178190	200.0	0.2	Free-living	300
SRR9178161	225.0	0.2	Free-living	300
SRR9178197	225.0	0.2	Free-living	300
SRR9178228	250.0	0.2	Free-living	300
SRR9178372	250.0	0.2	Free-living	300
SRR9178499	500.0	0.2	Free-living	1000
SRR9178188	500.0	0.2	Free-living	1000
SRR17827659	770.0	0.2	Free-living	1000
SRR17827637	1000.0	0.2	Free-living	1000
SRR9178337	5.0	0.2	Free-living	5
SRR9178353	5.0	0.2	Free-living	5
SRR9178104	25.0	0.2	Free-living	45
SRR9178237	25.0	0.2	Free-living	45
SRR9178103	45.0	0.2	Free-living	45
SRR9178236	45.0	0.2	Free-living	45
SRR9178209	75.0	0.2	Free-living	75
SRR9178276	75.0	0.2	Free-living	75
SRR9178465	100.0	0.2	Free-living	150
SRR9178218	100.0	0.2	Free-living	150
SRR9178437	125.0	0.2	Free-living	150
SRR9178493	125.0	0.2	Free-living	150
SRR9178406	150.0	0.2	Free-living	150
SRR9178441	150.0	0.2	Free-living	150
SRR9178478	175.0	0.2	Free-living	300
SRR9178088	175.0	0.2	Free-living	300
SRR9178440	500.0	0.2	Free-living	1000
SRR9178277	500.0	0.2	Free-living	1000
SRR17827552	770.0	0.2	Free-living	1000
SRR9178159	5.0	0.2	Free-living	5
SRR9178436	25.0	0.2	Free-living	45
SRR9178487	45.0	0.2	Free-living	45
SRR9178483	75.0	0.2	Free-living	75
SRR9178410	100.0	0.2	Free-living	150
SRR9178083	125.0	0.2	Free-living	150
SRR9178532	150.0	0.2	Free-living	150
SRR9178403	175.0	0.2	Free-living	300
SRR9178491	200.0	0.2	Free-living	300
SRR9178331	225.0	0.2	Free-living	300
SRR9178507	250.0	0.2	Free-living	300
SRR9178080	500.0	0.2	Free-living	1000
SRR17827599	770.0	0.2	Free-living	1000
SRR17827670	1000.0	0.2	Free-living	1000
SRR9178194	5.0	0.2	Free-living	5
SRR9178097	25.0	0.2	Free-living	45
SRR9178193	45.0	0.2	Free-living	45
SRR9178109	75.0	0.2	Free-living	75
SRR9178287	100.0	0.2	Free-living	150
SRR9178225	125.0	0.2	Free-living	150
SRR9178484	150.0	0.2	Free-living	150
SRR9178090	175.0	0.2	Free-living	300
SRR9178227	200.0	0.2	Free-living	300
SRR9178284	225.0	0.2	Free-living	300
SRR9178091	250.0	0.2	Free-living	300
SRR9178336	500.0	0.2	Free-living	1000
SRR17827579	770.0	0.2	Free-living	1000
SRR17827580	770.0	0.2	Free-living	1000
SRR17827559	1000.0	0.2	Free-living	1000
SRR17827560	1000.0	0.2	Free-living	1000
SRR9178100	5.0	0.2	Free-living	5
SRR9178233	25.0	0.2	Free-living	45
SRR9178220	45.0	0.2	Free-living	45
SRR9178191	75.0	0.2	Free-living	75
SRR9178082	100.0	0.2	Free-living	150
SRR9178402	125.0	0.2	Free-living	150
SRR9178158	150.0	0.2	Free-living	150
SRR9178459	175.0	0.2	Free-living	300
SRR9178409	200.0	0.2	Free-living	300
SRR9178081	225.0	0.2	Free-living	300
SRR9178457	250.0	0.2	Free-living	300
SRR9178212	500.0	0.2	Free-living	1000
SRR17827593	770.0	0.2	Free-living	1000
SRR17827589	1000.0	0.2	Free-living	1000
SRR9178279	5.0	0.2	Free-living	5
SRR9178443	25.0	0.2	Free-living	45
SRR9178282	45.0	0.2	Free-living	45
SRR9178319	75.0	0.2	Free-living	75
SRR9178149	100.0	0.2	Free-living	150
SRR9178102	125.0	0.2	Free-living	150
SRR9178361	150.0	0.2	Free-living	150
SRR9178217	175.0	0.2	Free-living	300
SRR9178535	200.0	0.2	Free-living	300
SRR9178144	225.0	0.2	Free-living	300
SRR9178095	250.0	0.2	Free-living	300
SRR9178534	500.0	0.2	Free-living	1000
SRR17827655	770.0	0.2	Free-living	1000
SRR17827623	1000.0	0.2	Free-living	1000
SRR9178375	5.0	0.2	Free-living	5
SRR9178145	25.0	0.2	Free-living	45
SRR9178367	45.0	0.2	Free-living	45
SRR9178476	75.0	0.2	Free-living	75
SRR9178196	100.0	0.2	Free-living	150
SRR9178504	125.0	0.2	Free-living	150
SRR9178339	150.0	0.2	Free-living	150
SRR9178373	175.0	0.2	Free-living	300
SRR9178154	200.0	0.2	Free-living	300
SRR9178456	225.0	0.2	Free-living	300
SRR9178079	250.0	0.2	Free-living	300
SRR9178506	500.0	0.2	Free-living	1000
SRR17827563	770.0	0.2	Free-living	1000
SRR17827554	1000.0	0.2	Free-living	1000
SRR9178494	5.0	0.2	Free-living	5
SRR9178143	25.0	0.2	Free-living	45
SRR9178490	45.0	0.2	Free-living	45
SRR9178362	75.0	0.2	Free-living	75
SRR9178528	100.0	0.2	Free-living	150
SRR9178119	125.0	0.2	Free-living	150
SRR9178230	150.0	0.2	Free-living	150
SRR9178369	175.0	0.2	Free-living	300
