sample_name	depth	filter size (um)	cell_state	binned_depth	total_classified	pro_percent_in_community
SRR17827560	1000.0	0.2	Free-living	1000	1898614.0	0.7688766647670353
SRR17827653	770.0	0.2	Free-living	1000	3866362.0	1.019692413695355
SRR17827654	1000.0	0.2	Free-living	1000	3380981.0	1.268004759565345
SRR17827559	1000.0	0.2	Free-living	1000	1355380.0	0.7608198438814208
SRR17827655	770.0	0.2	Free-living	1000	3008390.0	0.9052017856727353
SRR17827656	770.0	0.2	Free-living	1000	2577243.0	0.9140775627288541
SRR17827564	225.0	0.2	Free-living	300	3240486.0	7.786424628898257
SRR17827657	200.0	0.2	Free-living	300	2366305.0	11.073466860780838
SRR17827638	200.0	0.2	Free-living	300	3076154.0	5.631967710329197
SRR17827565	250.0	0.2	Free-living	300	2937798.0	2.350331779108026
SRR17827622	1000.0	0.2	Free-living	1000	1525554.0	1.0247424869916109
SRR17827623	1000.0	0.2	Free-living	1000	3415753.0	0.8170380001130058
SRR17827571	770.0	0.2	Free-living	1000	3222414.0	1.3674841283584296
SRR17827624	175.0	0.2	Free-living	300	3138294.0	7.599765987507863
SRR17827625	150.0	0.2	Free-living	150	2434888.0	50.300794122768686
SRR17827570	770.0	0.2	Free-living	1000	3679516.0	0.8188848750759611
SRR17827626	770.0	0.2	Free-living	1000	2762291.0	1.1327191812882857
SRR17827628	200.0	0.2	Free-living	300	2355184.0	9.888356918185586
SRR17827569	200.0	0.2	Free-living	300	1739466.0	1.7815237549914744
SRR17827629	770.0	0.2	Free-living	1000	1462678.0	1.4190409645868742
SRR17827630	500.0	0.2	Free-living	1000	1899894.0	1.026162512224366
SRR17827568	1000.0	0.2	Free-living	1000	1815034.0	0.9079168764882641
SRR17827631	500.0	0.2	Free-living	1000	2230555.0	0.9730762074909608
SRR17827632	150.0	0.2	Free-living	150	2399542.0	17.903124846324843
SRR17827566	770.0	0.2	Free-living	1000	3201537.0	0.8861056423836426
SRR17827633	225.0	0.2	Free-living	300	1823984.0	1.709280344564426
SRR17827634	500.0	0.2	Free-living	1000	1625550.0	0.9212881793854387
SRR17827637	1000.0	0.2	Free-living	1000	2325548.0	1.0780254804458993
KJ48	300.0	5.0	Particle-bound	300	96329.0	0.4308152269825286
KJ_40_41	150.0	1.2	Free-living	150	367443.0	9.093655342461279
SRR23969182	45.0	0.2	Free-living	45	3836627.0	76.04166368010235
SRR9178100	5.0	0.2	Free-living	5	3913301.0	79.50535877511084
KJ88	75.0	1.2	Free-living	75	228596.0	17.10659854065688
SRR9178101	175.0	0.2	Free-living	300	3361134.0	2.7289004246780997
SRR9178102	125.0	0.2	Free-living	150	4706331.0	54.37435233518424
KJ87	75.0	1.2	Free-living	75	122126.0	9.474640944598201
SRR9178103	45.0	0.2	Free-living	45	15557159.0	85.63813611469806
SRR9178104	25.0	0.2	Free-living	45	11905001.0	86.19824559443549
SRR9178098	175.0	0.2	Free-living	300	2512677.0	5.135757600360094
KJ8586	75.0	5.0	Particle-bound	75	99011.0	18.1040490450556
SRR9178106	25.0	0.2	Free-living	45	7158133.0	82.93284016935701
KJ84	75.0	5.0	Particle-bound	75	68070.0	6.33759365359189
SRR9178107	200.0	0.2	Free-living	300	2964313.0	2.176625747685889
SRR9178108	125.0	0.2	Free-living	150	1137046.0	32.008115766644444
KJ8283	75.0	20.0	Particle-bound	75	263360.0	32.04624848116646
SRR9178109	75.0	0.2	Free-living	75	7465835.0	76.10019508869404
SRR9178110	225.0	0.2	Free-living	300	3022699.0	2.264929455430395
SRR9178105	25.0	0.2	Free-living	45	5941194.0	75.00780146213035
KJ9	5.0	20.0	Particle-bound	5	567839.0	1.8691917955617703
SRR9178097	25.0	0.2	Free-living	45	5313045.0	79.46574892552199
SRR9178096	125.0	0.2	Free-living	150	4087489.0	21.027726313147266
SRR9178085	75.0	0.2	Free-living	75	8607095.0	80.57357331364415
KJ99	150.0	1.2	Free-living	150	199441.0	2.5009902677984965
SRR9178086	150.0	0.2	Free-living	150	3033493.0	7.237432227468467
SRR9178087	125.0	0.2	Free-living	150	4759363.0	35.509562939410166
KJ96	150.0	5.0	Particle-bound	150	78137.0	1.5767178161434403
SRR9178088	175.0	0.2	Free-living	300	4450438.0	22.73176258157062
SRR9178089	45.0	0.2	Free-living	45	5587989.0	73.4744467106145
KJ93	150.0	20.0	Particle-bound	150	236859.0	1.4641622230947524
SRR9178090	175.0	0.2	Free-living	300	3778414.0	27.918698162774113
SRR9178091	250.0	0.2	Free-living	300	5328730.0	1.7338652924805724
KJ92	75.0	0.2	Free-living	75	687154.0	62.775447716232456
SRR9178092	5.0	0.2	Free-living	5	6522491.0	74.03531871488975
SRR9178093	5.0	0.2	Free-living	5	3042889.0	74.87660575196796
KJ91	75.0	0.2	Free-living	75	824721.0	60.58485233187951
SRR9178094	25.0	0.2	Free-living	45	5031671.0	78.16240370246783
SRR9178095	250.0	0.2	Free-living	300	1539056.0	1.1510302419145242
KJ90	75.0	0.2	Free-living	75	933593.0	16.786329803244026
KJ81	75.0	20.0	Particle-bound	75	216553.0	7.10911416604711
SRR9178111	225.0	0.2	Free-living	300	3684756.0	3.9378184064290824
SRR17827588	150.0	0.2	Free-living	150	2059727.0	46.43838722316113
SRR9178112	100.0	0.2	Free-living	150	5497445.0	76.74485147191105
KJ66	1000.0	0.2	Free-living	1000	630572.0	0.44197966290923163
SRR9178149	100.0	0.2	Free-living	150	6458077.0	79.95493085635243
SRR9178150	225.0	0.2	Free-living	300	2681020.0	2.6340721068846933
KJ63	1000.0	1.2	Free-living	1000	263696.0	0.321582428250713
SRR9178151	25.0	0.2	Free-living	45	6641163.0	77.96200755801355
SRR9178152	100.0	0.2	Free-living	150	7873817.0	81.14045576624399
KJ60	1000.0	5.0	Particle-bound	1000	113356.0	0.3828646035498783
SRR9178153	125.0	0.2	Free-living	150	1672214.0	31.753890351354553
SRR9178154	200.0	0.2	Free-living	300	3214193.0	1.9990398834170815
SRR9178155	200.0	0.2	Free-living	300	527080.0	2.0167716475677318
SRR9178156	5.0	0.2	Free-living	5	5299095.0	74.77386232932227
SRR9178157	45.0	0.2	Free-living	45	6228865.0	74.9994902763184
SRR9178158	150.0	0.2	Free-living	150	5392199.0	58.75111434129193
SRR9178159	5.0	0.2	Free-living	5	4536040.0	82.3354291408365
SRR9178148	225.0	0.2	Free-living	300	3044354.0	1.9293419884809717
SRR9178084	500.0	0.2	Free-living	1000	2150025.0	0.9496168649201754
SRR9178147	100.0	0.2	Free-living	150	3307760.0	57.61436742689917
SRR9178146	25.0	0.2	Free-living	45	1702166.0	71.49549456398495
KJ7980	5.0	0.2	Free-living	5	1082204.0	70.65941356712783
SRR9178113	150.0	0.2	Free-living	150	2254890.0	13.557424087206027
SRR9178114	250.0	0.2	Free-living	300	2402306.0	1.5829373943202905
KJ78	5.0	0.2	Free-living	5	1143357.0	42.992171299078066
SRR9178115	150.0	0.2	Free-living	150	4778561.0	13.520723079604927
SRR9178117	100.0	0.2	Free-living	150	5800286.0	75.02255923242406
KJ7677	5.0	1.2	Free-living	5	237414.0	15.945984651284254
SRR9178118	500.0	0.2	Free-living	1000	1660619.0	0.9574140727042145
SRR9178119	125.0	0.2	Free-living	150	4558085.0	30.609477445023515
KJ75	5.0	1.2	Free-living	5	292213.0	12.711960111288684
SRR9178141	100.0	0.2	Free-living	150	1495920.0	57.43007647467779
SRR9178142	25.0	0.2	Free-living	45	3802789.0	71.84064117151911
KJ7374	5.0	5.0	Particle-bound	5	82949.0	27.296290491747943
SRR9178143	25.0	0.2	Free-living	45	4508499.0	75.57581802724144
SRR9178144	225.0	0.2	Free-living	300	2209539.0	1.6426503447099146
KJ72	5.0	5.0	Particle-bound	5	80920.0	8.18956994562531
SRR9178145	25.0	0.2	Free-living	45	4762667.0	78.12920785769822
KJ69	5.0	20.0	Particle-bound	5	449531.0	5.230562519603764
SRR23969181	25.0	0.2	Free-living	45	3401359.0	77.70899807988513
KJ_100_101	150.0	1.2	Free-living	150	259566.0	4.003606019278334
SRR9178082	100.0	0.2	Free-living	150	9481424.0	77.53443997441735
KJ_25	75.0	5.0	Particle-bound	75	193727.0	19.73240694379204
SRR23969197	100.0	0.2	Free-living	150	6191985.0	50.334359660108994
SRR23969198	5.0	0.2	Free-living	5	5049366.0	73.61029087612188
KJ_23	75.0	20.0	Particle-bound	75	315220.0	21.57318698052154
SRR23969199	1000.0	0.2	Free-living	1000	1282774.0	0.9473999317104962
SRR23969200	5.0	0.2	Free-living	5	4419894.0	72.01134235345916
KJ_22	75.0	20.0	Particle-bound	75	362088.0	21.216665561962838
SRR23969196	75.0	0.2	Free-living	75	3480813.0	69.3532803974244
SRR23969201	75.0	0.2	Free-living	75	5283472.0	83.43494580836239
KJ_127_128	1000.0	0.2	Free-living	1000	689656.0	0.7049891540130151
SRR23969203	125.0	0.2	Free-living	150	1900474.0	39.97365920291464
SRR23969204	5.0	0.2	Free-living	5	4531321.0	80.37333925360839
KJ_126	1000.0	0.2	Free-living	1000	549550.0	0.7697206805568192
SRR23969205	75.0	0.2	Free-living	75	3546227.0	66.94399427899003
SRR23969206	75.0	0.2	Free-living	75	6587076.0	76.44832092418548
KJ_124_125	1000.0	1.2	Free-living	1000	202784.0	0.7717571406028089
SRR23969202	25.0	0.2	Free-living	45	2540460.0	81.97830314195068
SRR23969195	45.0	0.2	Free-living	45	7381072.0	79.64848466455821
KJ_26	75.0	5.0	Particle-bound	75	103031.0	19.572749949044464
SRR23969194	125.0	0.2	Free-living	150	1940294.0	30.282369579043177
KJ_37_38	150.0	5.0	Particle-bound	150	234121.0	8.471260587474
SRR23969183	75.0	0.2	Free-living	75	4738634.0	69.41204997051894
SRR23969184	100.0	0.2	Free-living	150	3842323.0	68.65125602402506
KJ_34_35	150.0	20.0	Particle-bound	150	298974.0	12.144199830085558
SRR23969185	25.0	0.2	Free-living	45	2847035.0	60.43417098841426
SRR23969186	75.0	0.2	Free-living	75	3462397.0	57.369042313749695
KJ_32	75.0	0.2	Free-living	75	1449765.0	50.31953454525389
SRR23969187	770.0	0.2	Free-living	1000	1457701.0	0.9490972428502142
SRR23969188	150.0	0.2	Free-living	150	1716677.0	7.457489090842366
KJ_31	75.0	0.2	Free-living	75	1609047.0	59.111573496610106
SRR23969189	125.0	0.2	Free-living	150	5940171.0	72.50048862229723
SRR23969190	45.0	0.2	Free-living	45	3895689.0	61.89354437687402
KJ_29	75.0	1.2	Free-living	75	412432.0	16.75936881716259
SRR23969191	75.0	0.2	Free-living	75	3131019.0	62.038460961112015
SRR23969192	100.0	0.2	Free-living	150	4290186.0	67.39630869151128
KJ_28	75.0	1.2	Free-living	75	598069.0	19.68318036882032
SRR23969193	125.0	0.2	Free-living	150	2492276.0	38.293952997180085
SRR23969207	25.0	0.2	Free-living	45	3907945.0	71.58168807391097
SRR23969208	5.0	0.2	Free-living	5	4523242.0	81.66772858936135
KJ_123	1000.0	1.2	Free-living	1000	229513.0	0.6823142915651836
SRR23969209	125.0	0.2	Free-living	150	3740043.0	59.63041066640143
SRR23969224	5.0	0.2	Free-living	5	3597074.0	78.61169939789951
KJ_111	300.0	1.2	Free-living	300	189583.0	1.0939799454592447
SRR23969225	5.0	0.2	Free-living	5	3582117.0	71.9085390008199
SRR23969226	125.0	0.2	Free-living	150	7833977.0	75.60915739221599
KJ_109_110	300.0	5.0	Particle-bound	300	72700.0	1.3658872077028885
SRR23969227	25.0	0.2	Free-living	45	4786043.0	79.99955286653297
SRR23969228	75.0	0.2	Free-living	75	3447730.0	70.2832008306915
KJ_108	300.0	5.0	Particle-bound	300	79493.0	0.925867686462959
SRR23969229	75.0	0.2	Free-living	75	4573519.0	76.72356887552014
SRR23969230	5.0	0.2	Free-living	5	5324805.0	77.1686099303167
KJ_106_107	300.0	20.0	Particle-bound	300	86149.0	3.6901182834391575
SRR9178068	500.0	0.2	Free-living	1000	2710687.0	1.0241684119191925
SRR9178079	250.0	0.2	Free-living	300	2699435.0	1.233517384193359
KJ_105	300.0	20.0	Particle-bound	300	45032.0	1.2724284952922367
SRR9178080	500.0	0.2	Free-living	1000	2566243.0	1.030105099166369
SRR9178081	225.0	0.2	Free-living	300	2850627.0	2.720804931686959
KJ_103_104	150.0	0.2	Free-living	150	1190192.0	5.408959226746609
SRR23969223	5.0	0.2	Free-living	5	3350199.0	65.37232564393935
SRR9178083	125.0	0.2	Free-living	150	4486429.0	63.345703230787784
KJ_112_113	300.0	1.2	Free-living	300	152742.0	1.4881303112437967
SRR23969221	100.0	0.2	Free-living	150	8966016.0	71.01499707339359
SRR23969210	5.0	0.2	Free-living	5	4831862.0	75.34592254497335
KJ_121_122	1000.0	5.0	Particle-bound	1000	22409.0	0.9549734481681468
SRR23969211	125.0	0.2	Free-living	150	4257684.0	48.69882311604149
SRR23969212	5.0	0.2	Free-living	5	3220602.0	80.13520453629476
KJ_120	1000.0	5.0	Particle-bound	1000	59104.0	1.0185435841905792
SRR23969213	100.0	0.2	Free-living	150	9145469.0	76.79761420655409
SRR23969214	5.0	0.2	Free-living	5	3585136.0	65.65215378161386
KJ_118_119	1000.0	20.0	Particle-bound	1000	83166.0	4.750739484885651
SRR23969215	150.0	0.2	Free-living	150	1768229.0	3.3285281487861584
SRR23969216	100.0	0.2	Free-living	150	4357075.0	72.94535898509895
KJ_117	1000.0	20.0	Particle-bound	1000	35234.0	1.316909803031163
SRR23969217	45.0	0.2	Free-living	45	2571615.0	70.05504323158793
SRR23969218	75.0	0.2	Free-living	75	10906696.0	62.73324203773535
KJ_115_116	300.0	0.2	Free-living	300	684040.0	0.7047833460031577
SRR23969219	45.0	0.2	Free-living	45	3814585.0	79.59059766658758
SRR23969220	100.0	0.2	Free-living	150	8183034.0	73.34708617854943
KJ_114	300.0	0.2	Free-living	300	801388.0	0.765297209341792
SRR23969222	75.0	0.2	Free-living	75	5829560.0	71.49097015898283
SRR9178536	125.0	0.2	Free-living	150	3703598.0	41.66899323306687
