sample_name	depth	filter size (um)	cell_state	binned_depth	total_classified	pro_percent_in_community
SRR9178195	175.0	0.2	Free-living	300	3885782.0	2.0510671983142648
KJ15	5.0	1.2	Free-living	5	157960.0	7.641808052671563
SRR9178226	75.0	0.2	Free-living	75	4820696.0	77.81386754111854
ERR1726599	5.0	20.0	Particle-bound	5	1012500.0	9.818765432098765
SRR9178532	150.0	0.2	Free-living	150	3818406.0	26.54479382234367
SRR9178225	125.0	0.2	Free-living	150	9688020.0	70.67426574263884
SRR9178504	125.0	0.2	Free-living	150	3222128.0	47.05970712522904
KJ16	5.0	1.2	Free-living	5	370517.0	44.23359791858403
SRR9178224	5.0	0.2	Free-living	5	3457153.0	77.11793490192653
SRR9178284	225.0	0.2	Free-living	300	3900608.0	3.6402786437396424
SRR9178223	200.0	0.2	Free-living	300	2082844.0	3.4500903572231048
KJ17	5.0	1.2	Free-living	5	179745.0	14.18231383348633
KJ33	150.0	20.0	Particle-bound	150	329310.0	3.4529774376727094
SRR9178222	175.0	0.2	Free-living	300	3637617.0	8.395358829695375
SRR9178505	500.0	0.2	Free-living	1000	1305870.0	1.2015744293076647
SRR9178197	225.0	0.2	Free-living	300	4775540.0	6.872374642448813
SRR9178196	100.0	0.2	Free-living	150	3618253.0	65.8154916198508
SRR9178444	500.0	0.2	Free-living	1000	2042279.0	0.8813683145153038
ERR599150	5.0	0.22	Free-living	5	49777769.0	66.93111336508473
SRR9178285	5.0	0.2	Free-living	5	6316793.0	78.48465194284505
SRR9178461	125.0	0.2	Free-living	150	4621914.0	75.01695185154895
SRR9178403	175.0	0.2	Free-living	300	2593867.0	11.064869555763654
ERR599025	65.0	0.22	Free-living	45	5647562.0	38.32234156968972
SRR9178402	125.0	0.2	Free-living	150	10231415.0	78.94345014839101
SRR9178462	75.0	0.2	Free-living	75	5453332.0	74.76434590815303
SRR9178375	5.0	0.2	Free-living	5	4618656.0	77.54771084921674
ERR599026	66.0	0.22	Free-living	45	34242982.0	56.25924751530109
ERR4691844	5.0	20.0	Particle-bound	5	1396841.0	2.586121111851671
SRR9178374	200.0	0.2	Free-living	300	3244354.0	4.981022416172834
SRR9178373	175.0	0.2	Free-living	300	2284517.0	4.467815297500522
SRR9178463	500.0	0.2	Free-living	1000	1875312.0	1.2349944969157134
ERR599036	5.0	0.22	Free-living	5	8002122.0	42.67769224213278
SRR9178372	250.0	0.2	Free-living	300	4214181.0	3.699034284479001
SRR9178464	150.0	0.2	Free-living	150	3904583.0	11.262816029266123
