sample_name	classification	Absolute Genome Equivalent	depth	Filter size (um)	cell_state
KJ90	HL	168652.83022491878	75	0.2	Free-living
KJ90	LL	7892.518053726623	75	0.2	Free-living
KJ90	unclassified	55504.149908468346	75	0.2	Free-living
KJ91	HL	14334100.78681248	75	0.2	Free-living
KJ91	LL	215202.833024065	75	0.2	Free-living
KJ91	unclassified	2648758.686539823	75	0.2	Free-living
KJ92	HL	28109197.931089304	75	0.2	Free-living
KJ92	LL	403540.64383155014	75	0.2	Free-living
KJ92	unclassified	5096643.495239136	75	0.2	Free-living
KJ93	HL	79.04559254339978	150	20.0	Particle-bound
KJ93	LL	282.2575844494365	150	20.0	Particle-bound
KJ93	unclassified	54.759486634164205	150	20.0	Particle-bound
KJ96	HL	50.882496640652846	150	5.0	Particle-bound
KJ96	LL	834.5866488099815	150	5.0	Particle-bound
KJ96	unclassified	139.0030215490606	150	5.0	Particle-bound
KJ99	HL	2225.2530524445942	150	1.2	Free-living
KJ99	LL	13292.301601421881	150	1.2	Free-living
KJ99	unclassified	2059.6313075848934	150	1.2	Free-living
KJ_100_101	HL	9498.08400710137	150	1.2	Free-living
KJ_100_101	LL	11234.35844779951	150	1.2	Free-living
KJ_100_101	unclassified	3823.003573244109	150	1.2	Free-living
KJ_103_104	HL	57431.40194415355	150	0.2	Free-living
KJ_103_104	LL	1581051.4010316231	150	0.2	Free-living
KJ_103_104	unclassified	168182.863927731	150	0.2	Free-living
KJ_105	HL	52.93666534561682	300	20.0	Particle-bound
KJ_105	LL	57.81687008938452	300	20.0	Particle-bound
KJ_105	unclassified	12.064950616542124	300	20.0	Particle-bound
KJ_106_107	HL	1318.2752158540493	300	20.0	Particle-bound
KJ_106_107	LL	242.69437490098045	300	20.0	Particle-bound
KJ_106_107	unclassified	218.99435350925827	300	20.0	Particle-bound
KJ_108	HL	4.0787461651561205	300	5.0	Particle-bound
KJ_108	LL	115.20191946482313	300	5.0	Particle-bound
KJ_108	unclassified	9.154519170689092	300	5.0	Particle-bound
KJ_109_110	HL	1321.6696626935466	300	5.0	Particle-bound
KJ_109_110	LL	529.350898494792	300	5.0	Particle-bound
KJ_109_110	unclassified	171.32754886765406	300	5.0	Particle-bound
KJ_111	HL	132.5614715726165	300	1.2	Free-living
KJ_111	LL	337.3230905552352	300	1.2	Free-living
KJ_111	unclassified	61.52853208841938	300	1.2	Free-living
KJ_112_113	HL	519.0374351932044	300	1.2	Free-living
KJ_112_113	LL	882.201271496283	300	1.2	Free-living
KJ_112_113	unclassified	272.7787980577398	300	1.2	Free-living
KJ_117	HL	1128.1519484312767	1000	20.0	Particle-bound
KJ_117	LL	24.24829550631123	1000	20.0	Particle-bound
KJ_117	unclassified	174.8908313392916	1000	20.0	Particle-bound
KJ_118_119	HL	2151.9170730382516	1000	20.0	Particle-bound
KJ_118_119	LL	148.85793525602287	1000	20.0	Particle-bound
KJ_118_119	unclassified	326.01560382140053	1000	20.0	Particle-bound
KJ_120	HL	266.306809775674	1000	5.0	Particle-bound
KJ_120	LL	34.98540442150132	1000	5.0	Particle-bound
KJ_120	unclassified	65.06240881970173	1000	5.0	Particle-bound
KJ_121_122	HL	363.4276556247743	1000	5.0	Particle-bound
KJ_121_122	LL	55.13298800498545	1000	5.0	Particle-bound
KJ_121_122	unclassified	80.26162879637805	1000	5.0	Particle-bound
KJ_123	HL	246.86708026613599	1000	1.2	Free-living
KJ_123	LL	382.2832083244388	1000	1.2	Free-living
KJ_123	unclassified	45.61114113476371	1000	1.2	Free-living
KJ_124_125	HL	548.6427180480587	1000	1.2	Free-living
KJ_124_125	LL	561.348926865618	1000	1.2	Free-living
KJ_124_125	unclassified	106.77008304909916	1000	1.2	Free-living
KJ_22	HL	26495.97846569062	75	20.0	Particle-bound
KJ_22	LL	1850.6220581086454	75	20.0	Particle-bound
KJ_22	unclassified	4152.082321431699	75	20.0	Particle-bound
KJ_23	HL	28933.464960567915	75	20.0	Particle-bound
KJ_23	LL	1899.2887638002776	75	20.0	Particle-bound
KJ_23	unclassified	4750.3143200043105	75	20.0	Particle-bound
KJ_25	HL	62585.784987637395	75	5.0	Particle-bound
KJ_25	LL	3859.927149560309	75	5.0	Particle-bound
KJ_25	unclassified	10006.256765735143	75	5.0	Particle-bound
KJ_26	HL	34270.15029825053	75	5.0	Particle-bound
KJ_26	LL	2305.2928676370584	75	5.0	Particle-bound
KJ_26	unclassified	5671.893985359087	75	5.0	Particle-bound
KJ_28	HL	374102.1172827445	75	1.2	Free-living
KJ_28	LL	32001.29919835239	75	1.2	Free-living
KJ_28	unclassified	59739.897740792636	75	1.2	Free-living
KJ_29	HL	202008.29235748103	75	1.2	Free-living
KJ_29	LL	14382.10361195714	75	1.2	Free-living
